flim_year,ceremony_year,ceremony,category,nominee,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,FALSE
1927,1928,1,ACTOR,Emil Jannings,The Last Command,TRUE
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,FALSE
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,TRUE
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,FALSE
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,TRUE
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,FALSE
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,TRUE
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,TRUE
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,FALSE
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,FALSE
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,TRUE
1928,1929,2,ACTOR,Chester Morris,Alibi,FALSE
1928,1929,2,ACTOR,Paul Muni,The Valiant,FALSE
1928,1929,2,ACTOR,Lewis Stone,The Patriot,FALSE
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,FALSE
1928,1929,2,ACTRESS,Betty Compson,The Barker,FALSE
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,FALSE
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,FALSE
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,FALSE
1928,1929,2,ACTRESS,Mary Pickford,Coquette,TRUE
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,FALSE
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,FALSE
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,FALSE
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,TRUE
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,FALSE
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,FALSE
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,FALSE
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,FALSE
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,FALSE
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,FALSE
